Comparacoes = 49999; Trocas = 25190; Tempo = 0.002492; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002542; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.001737; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.001744; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.001424; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.001517; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002158; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002395; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002203; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002351; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002666; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002178; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.001455; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.001529; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002422; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002557; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002275; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.001570; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.001425; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.001531; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.001425; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.001516; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.001427; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002089; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002336; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002468; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002324; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002510; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002293; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002491; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002364; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002545; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002398; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002685; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002472; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002578; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002342; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002661; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002269; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002399; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002237; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002380; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002203; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002408; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002255; Elementos = 25189
Comparacoes = 49999; Trocas = 49902; Tempo = 0.002465; Elementos = 49903
Comparacoes = 49999; Trocas = 25218; Tempo = 0.002259; Elementos = 25219
Comparacoes = 49999; Trocas = 49897; Tempo = 0.002436; Elementos = 49898
Comparacoes = 49999; Trocas = 25190; Tempo = 0.002241; Elementos = 25191
Comparacoes = 49999; Trocas = 49958; Tempo = 0.002388; Elementos = 49959
Comparacoes = 49999; Trocas = 25188; Tempo = 0.002950; Elementos = 25189
