Comparacoes = 9999; Trocas = 9675; Tempo = 0.000549; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000553; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000613; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000569; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000581; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000538; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000590; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000491; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000568; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000556; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000516; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000527; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000551; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000561; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000552; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000525; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000557; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000536; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000369; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000373; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000367; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000558; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000388; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000415; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000309; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000309; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000308; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000305; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000304; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000307; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000314; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000307; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000306; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000304; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000307; Elementos = 9679
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8541; Tempo = 0.000311; Elementos = 8542
Comparacoes = 9999; Trocas = 9675; Tempo = 0.000307; Elementos = 9676
Comparacoes = 9999; Trocas = 8539; Tempo = 0.000304; Elementos = 8540
Comparacoes = 9999; Trocas = 9678; Tempo = 0.000306; Elementos = 9679
