Comparacoes = 24999; Trocas = 18450; Tempo = 0.001130; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000701; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000752; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000702; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000754; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000706; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000749; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.001261; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.001320; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000862; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000908; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000846; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000898; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000846; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000954; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000846; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000911; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000685; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000851; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000838; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000890; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000837; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000890; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000837; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000901; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000899; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000898; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000686; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000740; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000685; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000739; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000702; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000741; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000685; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000740; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000685; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000740; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000685; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000793; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000838; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000907; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000696; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000740; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000685; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000739; Elementos = 18472
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000685; Elementos = 6118
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000740; Elementos = 18451
Comparacoes = 24999; Trocas = 6126; Tempo = 0.000713; Elementos = 6127
Comparacoes = 24999; Trocas = 18450; Tempo = 0.000739; Elementos = 18451
Comparacoes = 24999; Trocas = 6117; Tempo = 0.000685; Elementos = 6118
Comparacoes = 24999; Trocas = 18471; Tempo = 0.000740; Elementos = 18472
