Comparacoes =   99; Trocas =   17; Tempo = 0.000007; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000016; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000007; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000005; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000009; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000011; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000005; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000006; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000013; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000006; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000008; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000008; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000007; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000006; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000004; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000005; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000004; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000004; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000005; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000004; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000005; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000005; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000005; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000005; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000004; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   94; Tempo = 0.000004; Elementos = 95
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   98; Tempo = 0.000004; Elementos = 99
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
Comparacoes =   99; Trocas =   93; Tempo = 0.000004; Elementos = 94
Comparacoes =   99; Trocas =   17; Tempo = 0.000004; Elementos = 18
