Comparacoes = 47072; Trocas = 47072; Tempo = 0.002670; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.002876; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.002890; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.002623; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.002454; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001793; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.002663; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.002844; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.002199; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001845; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001543; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001527; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001538; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001527; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001849; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001560; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001538; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001995; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001880; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001529; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001538; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001536; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001538; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001527; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001843; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001534; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001543; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001589; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001561; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001534; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001550; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001533; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001541; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001602; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001798; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001833; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001844; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001849; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001539; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001528; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001538; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001526; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001556; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001771; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001540; Elementos = 46174
Comparacoes = 48397; Trocas = 48397; Tempo = 0.001527; Elementos = 47864
Comparacoes = 47093; Trocas = 47093; Tempo = 0.001548; Elementos = 46126
Comparacoes = 48411; Trocas = 48411; Tempo = 0.001642; Elementos = 47883
Comparacoes = 47072; Trocas = 47072; Tempo = 0.001538; Elementos = 46098
Comparacoes = 48409; Trocas = 48409; Tempo = 0.001527; Elementos = 47880
Comparacoes = 47129; Trocas = 47129; Tempo = 0.001537; Elementos = 46174
