Comparacoes = 9999; Trocas = 9998; Tempo = 0.000577; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000555; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000586; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000548; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000512; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000581; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000644; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000590; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000516; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000582; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000539; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000553; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000536; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000557; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000747; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.001637; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.001096; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000798; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000537; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000582; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000642; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000729; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.001043; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000538; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000523; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000435; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000386; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000370; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000525; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000600; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000525; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000631; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000527; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000547; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000574; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000652; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000764; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000814; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000575; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000880; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000942; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000395; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000386; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000365; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000367; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000369; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000384; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000304; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000327; Elementos = 9999
Comparacoes = 9999; Trocas = 9998; Tempo = 0.000306; Elementos = 9999
