Comparacoes = 266785; Trocas = 151929 Tempo = 0.002770
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003088
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003341
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002735
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002715
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002568
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002645
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002574
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002565
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002570
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002630
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002652
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002734
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003447
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002883
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002784
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002589
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002874
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003656
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003432
Comparacoes = 259773; Trocas = 144426 Tempo = 0.004016
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002785
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002867
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003190
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003596
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002952
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002747
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003387
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003253
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003137
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003487
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003028
Comparacoes = 259773; Trocas = 144426 Tempo = 0.003384
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002866
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002794
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002780
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002717
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002692
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002776
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002657
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002651
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002653
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002658
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002675
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002558
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002574
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002562
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002555
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002561
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002604
Comparacoes = 259773; Trocas = 144426 Tempo = 0.002652
