Comparacoes = 86946; Trocas = 86946; Tempo = 0.004797; Elementos = 82597
Comparacoes = 78033; Trocas = 78033; Tempo = 0.004555; Elementos = 70712
Comparacoes = 88331; Trocas = 88331; Tempo = 0.005264; Elementos = 84443
Comparacoes = 74457; Trocas = 74457; Tempo = 0.004500; Elementos = 65944
Comparacoes = 92210; Trocas = 92210; Tempo = 0.004210; Elementos = 89615
Comparacoes = 74490; Trocas = 74490; Tempo = 0.004475; Elementos = 65988
Comparacoes = 88319; Trocas = 88319; Tempo = 0.005175; Elementos = 84427
Comparacoes = 78021; Trocas = 78021; Tempo = 0.004387; Elementos = 70696
Comparacoes = 86862; Trocas = 86862; Tempo = 0.003640; Elementos = 82485
Comparacoes = 74871; Trocas = 74871; Tempo = 0.003690; Elementos = 66496
Comparacoes = 93138; Trocas = 93138; Tempo = 0.005186; Elementos = 90853
Comparacoes = 74532; Trocas = 74532; Tempo = 0.003703; Elementos = 66044
Comparacoes = 86994; Trocas = 86994; Tempo = 0.003603; Elementos = 82661
Comparacoes = 78054; Trocas = 78054; Tempo = 0.003649; Elementos = 70740
Comparacoes = 88839; Trocas = 88839; Tempo = 0.005383; Elementos = 85121
Comparacoes = 74502; Trocas = 74502; Tempo = 0.003708; Elementos = 66004
Comparacoes = 91647; Trocas = 91647; Tempo = 0.003580; Elementos = 88865
Comparacoes = 74466; Trocas = 74466; Tempo = 0.003672; Elementos = 65956
Comparacoes = 88292; Trocas = 88292; Tempo = 0.004945; Elementos = 84391
Comparacoes = 78519; Trocas = 78519; Tempo = 0.003744; Elementos = 71360
Comparacoes = 86844; Trocas = 86844; Tempo = 0.003624; Elementos = 82461
Comparacoes = 74481; Trocas = 74481; Tempo = 0.003691; Elementos = 65976
Comparacoes = 93227; Trocas = 93227; Tempo = 0.004562; Elementos = 90971
Comparacoes = 74517; Trocas = 74517; Tempo = 0.004716; Elementos = 66024
Comparacoes = 87344; Trocas = 87344; Tempo = 0.004240; Elementos = 83127
Comparacoes = 78090; Trocas = 78090; Tempo = 0.004305; Elementos = 70788
Comparacoes = 88370; Trocas = 88370; Tempo = 0.005510; Elementos = 84495
Comparacoes = 74472; Trocas = 74472; Tempo = 0.003746; Elementos = 65964
Comparacoes = 91608; Trocas = 91608; Tempo = 0.003591; Elementos = 88813
Comparacoes = 74868; Trocas = 74868; Tempo = 0.003677; Elementos = 66492
Comparacoes = 88353; Trocas = 88353; Tempo = 0.004476; Elementos = 84472
Comparacoes = 78060; Trocas = 78060; Tempo = 0.003678; Elementos = 70748
Comparacoes = 86877; Trocas = 86877; Tempo = 0.003634; Elementos = 82505
Comparacoes = 74487; Trocas = 74487; Tempo = 0.003683; Elementos = 65984
Comparacoes = 93741; Trocas = 93741; Tempo = 0.003891; Elementos = 91656
Comparacoes = 74511; Trocas = 74511; Tempo = 0.003920; Elementos = 66016
Comparacoes = 86874; Trocas = 86874; Tempo = 0.003738; Elementos = 82501
Comparacoes = 78060; Trocas = 78060; Tempo = 0.003715; Elementos = 70748
Comparacoes = 88280; Trocas = 88280; Tempo = 0.003831; Elementos = 84375
Comparacoes = 74892; Trocas = 74892; Tempo = 0.004714; Elementos = 66524
Comparacoes = 91686; Trocas = 91686; Tempo = 0.004243; Elementos = 88917
Comparacoes = 74472; Trocas = 74472; Tempo = 0.003683; Elementos = 65964
Comparacoes = 88296; Trocas = 88296; Tempo = 0.003655; Elementos = 84396
Comparacoes = 78036; Trocas = 78036; Tempo = 0.004666; Elementos = 70716
Comparacoes = 87399; Trocas = 87399; Tempo = 0.003704; Elementos = 83201
Comparacoes = 74481; Trocas = 74481; Tempo = 0.003698; Elementos = 65976
Comparacoes = 93183; Trocas = 93183; Tempo = 0.003609; Elementos = 90913
Comparacoes = 74538; Trocas = 74538; Tempo = 0.005388; Elementos = 66052
Comparacoes = 86937; Trocas = 86937; Tempo = 0.004217; Elementos = 82585
Comparacoes = 78483; Trocas = 78483; Tempo = 0.004306; Elementos = 71312
Comparacoes = 88328; Trocas = 88328; Tempo = 0.005254; Elementos = 84439
