Comparacoes = 499200; Trocas = 264403 Tempo = 0.003343
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002543
Comparacoes = 498372; Trocas = 214524 Tempo = 0.003367
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002473
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002626
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002429
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002466
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002403
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002368
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002368
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002612
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002412
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002573
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002391
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002369
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002383
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002845
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002397
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002387
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002475
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002401
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002381
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002425
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002730
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002691
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002640
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002664
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002375
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002427
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002394
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002389
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002372
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002380
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002421
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002370
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002411
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002370
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002369
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002374
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002368
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002377
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002380
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002391
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002372
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002379
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002375
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002370
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002379
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002404
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002387
Comparacoes = 498372; Trocas = 214524 Tempo = 0.002371
