Comparacoes = 4884; Trocas = 2121 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000083
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000052
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000049
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000044
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000047
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000052
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000046
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000043
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000046
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000064
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000052
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000041
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000044
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000041
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000039
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000043
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000044
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000046
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000046
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000045
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000049
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000065
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000049
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000051
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000053
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000055
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000049
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000050
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000061
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000060
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000061
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000060
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000057
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000048
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000043
Comparacoes = 4872; Trocas = 2044 Tempo = 0.000042
