Comparacoes = 47140; Trocas = 47140; Tempo = 0.002059; Elementos = 46188
Comparacoes = 39064; Trocas = 39064; Tempo = 0.002198; Elementos = 35420
Comparacoes = 49081; Trocas = 49081; Tempo = 0.001849; Elementos = 48776
Comparacoes = 39115; Trocas = 39115; Tempo = 0.002035; Elementos = 35488
Comparacoes = 47266; Trocas = 47266; Tempo = 0.001738; Elementos = 46357
Comparacoes = 40477; Trocas = 40477; Tempo = 0.002023; Elementos = 37304
Comparacoes = 46528; Trocas = 46528; Tempo = 0.001990; Elementos = 45372
Comparacoes = 39058; Trocas = 39058; Tempo = 0.002101; Elementos = 35412
Comparacoes = 49976; Trocas = 49976; Tempo = 0.002364; Elementos = 49970
Comparacoes = 39025; Trocas = 39025; Tempo = 0.002185; Elementos = 35368
Comparacoes = 46642; Trocas = 46642; Tempo = 0.001720; Elementos = 45524
Comparacoes = 40461; Trocas = 40461; Tempo = 0.001771; Elementos = 37283
Comparacoes = 47143; Trocas = 47143; Tempo = 0.001736; Elementos = 46192
Comparacoes = 39188; Trocas = 39188; Tempo = 0.001794; Elementos = 35586
Comparacoes = 49072; Trocas = 49072; Tempo = 0.001694; Elementos = 48764
Comparacoes = 39022; Trocas = 39022; Tempo = 0.001797; Elementos = 35364
Comparacoes = 47233; Trocas = 47233; Tempo = 0.001714; Elementos = 46312
Comparacoes = 40459; Trocas = 40459; Tempo = 0.001997; Elementos = 37280
Comparacoes = 46726; Trocas = 46726; Tempo = 0.002042; Elementos = 45636
Comparacoes = 39055; Trocas = 39055; Tempo = 0.001870; Elementos = 35409
Comparacoes = 49777; Trocas = 49777; Tempo = 0.001703; Elementos = 49705
Comparacoes = 39013; Trocas = 39013; Tempo = 0.001787; Elementos = 35352
Comparacoes = 46642; Trocas = 46642; Tempo = 0.001715; Elementos = 45524
Comparacoes = 40583; Trocas = 40583; Tempo = 0.001775; Elementos = 37446
Comparacoes = 47146; Trocas = 47146; Tempo = 0.001723; Elementos = 46196
Comparacoes = 39091; Trocas = 39091; Tempo = 0.001788; Elementos = 35456
Comparacoes = 49081; Trocas = 49081; Tempo = 0.001876; Elementos = 48776
Comparacoes = 39010; Trocas = 39010; Tempo = 0.001824; Elementos = 35348
Comparacoes = 47407; Trocas = 47407; Tempo = 0.001707; Elementos = 46544
Comparacoes = 40462; Trocas = 40462; Tempo = 0.001775; Elementos = 37284
Comparacoes = 46537; Trocas = 46537; Tempo = 0.001718; Elementos = 45384
Comparacoes = 39061; Trocas = 39061; Tempo = 0.001791; Elementos = 35416
Comparacoes = 49792; Trocas = 49792; Tempo = 0.001683; Elementos = 49725
Comparacoes = 39126; Trocas = 39126; Tempo = 0.001797; Elementos = 35503
Comparacoes = 46660; Trocas = 46660; Tempo = 0.001723; Elementos = 45548
Comparacoes = 40471; Trocas = 40471; Tempo = 0.001965; Elementos = 37296
Comparacoes = 47137; Trocas = 47137; Tempo = 0.001736; Elementos = 46184
Comparacoes = 39070; Trocas = 39070; Tempo = 0.001794; Elementos = 35428
Comparacoes = 49269; Trocas = 49269; Tempo = 0.001697; Elementos = 49027
Comparacoes = 39022; Trocas = 39022; Tempo = 0.001788; Elementos = 35365
Comparacoes = 47244; Trocas = 47244; Tempo = 0.001709; Elementos = 46327
Comparacoes = 40453; Trocas = 40453; Tempo = 0.001776; Elementos = 37272
Comparacoes = 46540; Trocas = 46540; Tempo = 0.001726; Elementos = 45388
Comparacoes = 39178; Trocas = 39178; Tempo = 0.001786; Elementos = 35573
Comparacoes = 49762; Trocas = 49762; Tempo = 0.001882; Elementos = 49685
Comparacoes = 39034; Trocas = 39034; Tempo = 0.001794; Elementos = 35380
Comparacoes = 46660; Trocas = 46660; Tempo = 0.001742; Elementos = 45549
Comparacoes = 40456; Trocas = 40456; Tempo = 0.001777; Elementos = 37276
Comparacoes = 47322; Trocas = 47322; Tempo = 0.001705; Elementos = 46431
Comparacoes = 39070; Trocas = 39070; Tempo = 0.001792; Elementos = 35428
Comparacoes = 49093; Trocas = 49093; Tempo = 0.001697; Elementos = 48792
