Comparacoes = 99999; Trocas = 99999; Tempo = 0.003806; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002943; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002878; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002877; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003363; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003327; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002895; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002885; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002870; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003403; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002992; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003595; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002880; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002878; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003409; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002878; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002968; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002882; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002883; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002888; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002882; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002882; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002884; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002875; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002895; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002883; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002882; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002879; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002878; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002875; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003301; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002883; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002892; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002888; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002880; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002887; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002881; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002879; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002880; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002879; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002880; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.004483; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.003559; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002870; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002893; Elementos = 100000
Comparacoes = 99999; Trocas = 99999; Tempo = 0.002901; Elementos = 100000
