Comparacoes = 9999; Trocas = 9999; Tempo = 0.000531; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000549; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000580; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000548; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000558; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000491; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000523; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000472; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000520; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000519; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000504; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000396; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000520; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000520; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000547; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000347; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000353; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000353; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000350; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000360; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000363; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000289; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000347; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000498; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000365; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000355; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000350; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000349; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000349; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000348; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000373; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000288; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000289; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000287; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000344; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000363; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000362; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000378; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000362; Elementos = 10000
Comparacoes = 9999; Trocas = 9999; Tempo = 0.000362; Elementos = 10000
