Comparacoes = 1249943875; Trocas = 623634898; Tempo = 10.535648
Comparacoes = 1249918384; Trocas = 477190759; Tempo = 9.058007
Comparacoes = 1249965409; Trocas = 472756150; Tempo = 9.172246
Comparacoes = 1249874872; Trocas = 477236646; Tempo = 8.851556
Comparacoes = 1249766019; Trocas = 474027384; Tempo = 8.796215
Comparacoes = 1249961470; Trocas = 473859792; Tempo = 8.680089
Comparacoes = 1249949122; Trocas = 476123982; Tempo = 8.565180
Comparacoes = 1249973230; Trocas = 475607092; Tempo = 8.508154
Comparacoes = 1249916347; Trocas = 474202418; Tempo = 8.503616
Comparacoes = 1249951564; Trocas = 473204972; Tempo = 8.728980
Comparacoes = 1249846729; Trocas = 475812506; Tempo = 8.607433
Comparacoes = 1249959247; Trocas = 476075217; Tempo = 8.655343
Comparacoes = 1249940020; Trocas = 473121004; Tempo = 8.506230
Comparacoes = 1249793497; Trocas = 474333599; Tempo = 8.656268
Comparacoes = 1249946559; Trocas = 473240660; Tempo = 8.511556
Comparacoes = 1249897185; Trocas = 478133334; Tempo = 8.534839
Comparacoes = 1249815670; Trocas = 471911290; Tempo = 8.530195
Comparacoes = 1249936497; Trocas = 473076314; Tempo = 8.597040
Comparacoes = 1249950910; Trocas = 466925704; Tempo = 8.462559
Comparacoes = 1249895997; Trocas = 474940969; Tempo = 8.537761
Comparacoes = 1249964847; Trocas = 475427669; Tempo = 8.549426
Comparacoes = 1249905622; Trocas = 468661568; Tempo = 8.479033
Comparacoes = 1249951129; Trocas = 471593256; Tempo = 8.696371
Comparacoes = 1249947034; Trocas = 477951882; Tempo = 8.659070
Comparacoes = 1249944865; Trocas = 471635938; Tempo = 9.046710
Comparacoes = 1249939222; Trocas = 474838701; Tempo = 12.004010
Comparacoes = 1249926172; Trocas = 469469222; Tempo = 13.984752
Comparacoes = 1249913925; Trocas = 480343286; Tempo = 12.158943
Comparacoes = 1249967374; Trocas = 471987747; Tempo = 13.204163
Comparacoes = 1249941070; Trocas = 472253604; Tempo = 9.992503
Comparacoes = 1249967979; Trocas = 475112955; Tempo = 8.692984
Comparacoes = 1249956472; Trocas = 477080390; Tempo = 9.072846
Comparacoes = 1249971345; Trocas = 471338568; Tempo = 14.061231
Comparacoes = 1249782490; Trocas = 475896161; Tempo = 12.907928
Comparacoes = 1249879734; Trocas = 475172280; Tempo = 12.835642
Comparacoes = 1249933384; Trocas = 472306763; Tempo = 12.916194
Comparacoes = 1249972444; Trocas = 471247188; Tempo = 12.611483
Comparacoes = 1249965130; Trocas = 476964427; Tempo = 12.286438
Comparacoes = 1249947739; Trocas = 470439978; Tempo = 11.186972
Comparacoes = 1249934245; Trocas = 475183079; Tempo = 10.888371
Comparacoes = 1249941589; Trocas = 470417174; Tempo = 10.840002
Comparacoes = 1249939489; Trocas = 472628096; Tempo = 10.961914
Comparacoes = 1249928640; Trocas = 475846594; Tempo = 10.865379
Comparacoes = 1249962280; Trocas = 472843818; Tempo = 11.137199
Comparacoes = 1249942104; Trocas = 472189219; Tempo = 10.845140
Comparacoes = 1249938954; Trocas = 478641852; Tempo = 10.962001
Comparacoes = 1249922025; Trocas = 473962965; Tempo = 11.738083
Comparacoes = 1249947972; Trocas = 474413697; Tempo = 10.143707
Comparacoes = 1249910020; Trocas = 478672454; Tempo = 11.023178
Comparacoes = 1249812265; Trocas = 471293927; Tempo = 11.557166
Comparacoes = 1249972789; Trocas = 466916144; Tempo = 11.450242
