Comparacoes = 9998; Trocas = 9998; Tempo = 0.000583; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000474; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000475; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000474; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000730; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000474; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000482; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000474; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000477; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000480; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000482; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000478; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000647; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000555; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000578; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000543; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000527; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000539; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000537; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000551; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000544; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000508; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000554; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000535; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000576; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000600; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000454; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000300; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000303; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000304; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000303; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000305; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000303; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000448; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000316; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000300; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000301; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000302; Elementos = 9999
Comparacoes = 9998; Trocas = 9998; Tempo = 0.000384; Elementos = 9999
