Comparacoes = 23358; Trocas = 23358; Tempo = 0.001163; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000904; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000743; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000753; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000945; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000942; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000911; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000737; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000741; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000735; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000740; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000733; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000749; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000736; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000741; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000733; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000741; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000742; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000742; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000734; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000740; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000735; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000748; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000735; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000863; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000906; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.001011; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000757; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000744; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000735; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000741; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000735; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000751; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000736; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000741; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000734; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000741; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000735; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000741; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000743; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000742; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000734; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000741; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000735; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000821; Elementos = 22857
Comparacoes = 24105; Trocas = 24105; Tempo = 0.000736; Elementos = 23809
Comparacoes = 23364; Trocas = 23364; Tempo = 0.000742; Elementos = 22821
Comparacoes = 24138; Trocas = 24138; Tempo = 0.000791; Elementos = 23853
Comparacoes = 23358; Trocas = 23358; Tempo = 0.000744; Elementos = 22813
Comparacoes = 24108; Trocas = 24108; Tempo = 0.000745; Elementos = 23813
Comparacoes = 23391; Trocas = 23391; Tempo = 0.000742; Elementos = 22857
