Comparacoes =   92; Trocas =   92; Tempo = 0.000006; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000006; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000006; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000006; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000007; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000006; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
Comparacoes =   92; Trocas =   92; Tempo = 0.000005; Elementos = 91
