Comparacoes = 49888; Trocas = 49888; Tempo = 0.002045; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001820; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001872; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001522; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001504; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001490; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001458; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001989; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001562; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001495; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001458; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001480; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001458; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001478; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001458; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001685; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001768; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001574; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001809; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001476; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001453; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001476; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001452; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001468; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001452; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001788; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001756; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001772; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001801; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001768; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001762; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001533; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001490; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001470; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001610; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001831; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001453; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001475; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001466; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001469; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001460; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001468; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001461; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001468; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001513; Elementos = 49872
Comparacoes = 48229; Trocas = 48229; Tempo = 0.001470; Elementos = 47640
Comparacoes = 49963; Trocas = 49963; Tempo = 0.001460; Elementos = 49953
Comparacoes = 48235; Trocas = 48235; Tempo = 0.001471; Elementos = 47648
Comparacoes = 49888; Trocas = 49888; Tempo = 0.001461; Elementos = 49853
Comparacoes = 48287; Trocas = 48287; Tempo = 0.001472; Elementos = 47718
Comparacoes = 49903; Trocas = 49903; Tempo = 0.001464; Elementos = 49872
