Comparacoes = 24999; Trocas = 24999; Tempo = 0.001417; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.001086; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000808; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000720; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000719; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000730; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000721; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.001194; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000874; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000892; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000726; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000835; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.001021; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000875; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000883; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000881; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000719; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000726; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000763; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000989; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000874; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000875; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000885; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000720; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000724; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000724; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000919; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000758; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000717; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000738; Elementos = 25000
Comparacoes = 24999; Trocas = 24999; Tempo = 0.000716; Elementos = 25000
